agent_type,environment_size,dirt_rate,total_dirt_cells,timestamp,server_url,environment_id,final_performance,total_actions,successful_actions,completion_reason,steps_to_completion
SimpleReflexAgent,"[2, 2]",0.8,3,2025-10-05T19:08:54.244408,http://localhost:5000,cab6fd7a-d48b-4334-801c-31ae7dbf6b85,3,7,7,all_cleaned,7
SimpleReflexAgent,"[4, 4]",0.8,12,2025-10-05T19:10:01.302849,http://localhost:5000,74b3844f-f843-4f74-9939-e3c455b42f58,12,85,85,all_cleaned,85
SimpleReflexAgent,"[8, 8]",0.1,6,2025-10-05T19:11:05.427595,http://localhost:5000,63881fe1-4f65-482d-94c8-70e45227126f,6,309,309,all_cleaned,309
SimpleReflexAgent,"[64, 64]",0.1,409,2025-10-05T19:40:08.023878,http://localhost:5000,92e4e267-b8dd-46c9-a7fb-a31957ebc5ab,42,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.8,12,2025-10-05T19:10:15.500847,http://localhost:5000,8c315932-f966-48bb-89de-7accd36b1715,12,89,89,all_cleaned,89
SimpleReflexAgent,"[4, 4]",0.2,3,2025-10-05T19:09:19.786585,http://localhost:5000,3376bba9-397f-437f-bfd2-d3cec2f51c11,3,53,53,all_cleaned,53
SimpleReflexAgent,"[64, 64]",0.8,3276,2025-10-05T19:51:25.410671,http://localhost:5000,4f806598-5c70-4f02-a9b4-4d27de7b95e1,197,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[2, 2]",0.8,3,2025-10-05T19:08:55.668077,http://localhost:5000,caa998dd-69b5-43f5-bce9-ddd44feb5a39,3,8,8,all_cleaned,8
SimpleReflexAgent,"[2, 2]",0.4,1,2025-10-05T19:08:33.128507,http://localhost:5000,cf275ff3-9a26-44b3-9783-b2c045310b50,1,1,1,all_cleaned,1
SimpleReflexAgent,"[32, 32]",0.2,204,2025-10-05T19:28:21.938831,http://localhost:5000,aad2f5ff-1a75-4416-b9b7-01cd60c2f930,71,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.1,102,2025-10-05T19:26:42.340788,http://localhost:5000,16dd4280-cc44-4ff2-9b9d-ddbb0b0b8ff7,25,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[64, 64]",0.8,3276,2025-10-05T19:49:21.462343,http://localhost:5000,c20f9adc-95f2-4ad8-96b9-66383ca444d5,259,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.2,204,2025-10-05T19:30:18.526734,http://localhost:5000,dcc4eac9-38e2-47d6-a03d-8e30651a93b3,55,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[2, 2]",0.1,0,2025-10-05T19:08:14.235673,http://localhost:5000,a88bd5de-6d01-4639-bb46-3386fe55be42,0,0,0,all_cleaned,0
SimpleReflexAgent,"[64, 64]",0.2,819,2025-10-05T19:40:32.698067,http://localhost:5000,b7958fbb-d1de-4e6b-8d14-856291ea18e9,57,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[64, 64]",0.4,1638,2025-10-05T19:46:01.998993,http://localhost:5000,597956e9-5f3b-4bf9-980b-0b0fd531ef20,119,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.4,6,2025-10-05T19:09:50.370732,http://localhost:5000,7db85e37-3ae1-46a7-b2bf-d2c788322426,6,83,83,all_cleaned,83
SimpleReflexAgent,"[64, 64]",0.1,409,2025-10-05T19:38:29.961684,http://localhost:5000,86cebcb0-b2ff-4073-a113-7b42e347e71b,28,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.8,12,2025-10-05T19:10:10.348843,http://localhost:5000,58e81679-4e53-4b72-8c4f-7a3f87c3701f,12,127,127,all_cleaned,127
SimpleReflexAgent,"[32, 32]",0.2,204,2025-10-05T19:29:12.068043,http://localhost:5000,2abd596c-a012-44c2-b52b-fadf0a76405e,49,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[8, 8]",0.1,6,2025-10-05T19:10:54.229192,http://localhost:5000,ff5e8c8c-d947-42f0-8043-ca075b2ecd4a,6,265,265,all_cleaned,265
SimpleReflexAgent,"[2, 2]",0.8,3,2025-10-05T19:08:48.509421,http://localhost:5000,7cc8de63-9d63-483f-bc8a-a6acd41181ed,3,12,12,all_cleaned,12
SimpleReflexAgent,"[64, 64]",0.8,3276,2025-10-05T19:52:15.158614,http://localhost:5000,0357930e-6479-49d8-9325-a5714324763f,209,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[64, 64]",0.1,409,2025-10-05T19:39:18.606965,http://localhost:5000,53519218-6dc0-4483-9352-1aa557cb1409,32,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[64, 64]",0.2,819,2025-10-05T19:43:57.523649,http://localhost:5000,0df52b2f-a078-483d-9e1f-ebf7fd2d625a,56,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[64, 64]",0.1,409,2025-10-05T19:37:15.620587,http://localhost:5000,8516bf27-eb81-4c50-9940-396f104fce47,31,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[16, 16]",0.2,51,2025-10-05T19:20:00.916683,http://localhost:5000,c2554c94-7f2f-4779-985a-34058856ae37,50,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.4,6,2025-10-05T19:09:42.923427,http://localhost:5000,42179ab1-13dd-4050-96af-88ce94b0a8fc,6,84,84,all_cleaned,84
SimpleReflexAgent,"[16, 16]",0.2,51,2025-10-05T19:19:31.929476,http://localhost:5000,f6606a51-4fd6-488e-8992-9db13dbc1de4,30,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[16, 16]",0.1,25,2025-10-05T19:16:38.282663,http://localhost:5000,187d4c48-7552-4301-a920-a3d96ef7a63c,18,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[16, 16]",0.8,204,2025-10-05T19:22:54.550155,http://localhost:5000,04a1933e-743a-4ffd-92a9-61644bf20354,146,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[2, 2]",0.1,0,2025-10-05T19:08:06.170797,http://localhost:5000,0964f5f0-6d3f-4a54-aee0-7813f23a16a9,0,0,0,all_cleaned,0
SimpleReflexAgent,"[8, 8]",0.8,51,2025-10-05T19:14:18.916856,http://localhost:5000,1031c031-bc02-49da-8034-048887bd2acf,51,613,613,all_cleaned,613
SimpleReflexAgent,"[16, 16]",0.2,51,2025-10-05T19:19:46.339658,http://localhost:5000,f46ad8ab-450b-43d5-a273-b46adcaffda3,34,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[64, 64]",0.1,409,2025-10-05T19:36:51.043064,http://localhost:5000,2f4a92ad-8d8a-4657-911d-40d6ad79cdef,30,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[2, 2]",0.4,1,2025-10-05T19:08:42.815412,http://localhost:5000,22d2d5f0-2506-4ba6-8689-ad1d14f2c2ba,1,1,1,all_cleaned,1
SimpleReflexAgent,"[64, 64]",0.2,819,2025-10-05T19:42:38.254654,http://localhost:5000,7edf4073-f14e-4a37-84b0-4fd16bdfc189,61,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.2,3,2025-10-05T19:09:30.625953,http://localhost:5000,b298ec61-c6ce-4e17-b051-fe7605d688d2,3,65,65,all_cleaned,65
SimpleReflexAgent,"[2, 2]",0.4,1,2025-10-05T19:08:41.447656,http://localhost:5000,4ad430e4-af9a-426f-82f3-a380a6ab4a63,1,1,1,all_cleaned,1
SimpleReflexAgent,"[16, 16]",0.4,102,2025-10-05T19:22:25.564857,http://localhost:5000,c66b6d87-4549-4caf-8063-c9498624cc15,89,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.8,12,2025-10-05T19:10:07.842590,http://localhost:5000,1474d08f-107f-4b6d-8322-518dc49cfe18,12,90,90,all_cleaned,90
SimpleReflexAgent,"[8, 8]",0.4,25,2025-10-05T19:13:44.321564,http://localhost:5000,e6b079b6-03f0-46e6-8abe-97a463bc5ced,25,568,568,all_cleaned,568
SimpleReflexAgent,"[64, 64]",0.8,3276,2025-10-05T19:49:46.205023,http://localhost:5000,b9e07b08-9181-4cf8-bb02-7fb774d251d7,232,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.1,102,2025-10-05T19:26:09.274451,http://localhost:5000,739c2fe1-a23f-4a29-b79f-b5be7370affe,24,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.1,102,2025-10-05T19:27:15.777176,http://localhost:5000,fc8c369c-e92b-4003-8df7-f93f709bea7c,30,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[64, 64]",0.4,1638,2025-10-05T19:46:52.081885,http://localhost:5000,139f83a9-4040-4143-a651-2f1aeba726eb,112,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[2, 2]",0.2,0,2025-10-05T19:08:29.012436,http://localhost:5000,33cb4225-4c9f-409c-94f4-ee957c6e602a,0,0,0,all_cleaned,0
SimpleReflexAgent,"[16, 16]",0.4,102,2025-10-05T19:21:13.161329,http://localhost:5000,79ed25c3-2b99-4aab-a5ec-eb441eef683a,76,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[64, 64]",0.4,1638,2025-10-05T19:46:27.063311,http://localhost:5000,6db6a03e-f6c7-4441-b3d2-d54f36e1acda,121,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.2,204,2025-10-05T19:30:35.075582,http://localhost:5000,451dbffd-aa52-4864-a2dc-cbbfb3705b35,49,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.2,204,2025-10-05T19:30:01.945109,http://localhost:5000,7452841f-2d38-497d-a8dc-c99a49f8bd0b,53,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.2,3,2025-10-05T19:09:16.768339,http://localhost:5000,15f57418-3786-4984-b952-a4456bdc9535,3,8,8,all_cleaned,8
SimpleReflexAgent,"[2, 2]",0.4,1,2025-10-05T19:08:34.476405,http://localhost:5000,673ab261-6d7d-4ca1-b884-09eab356f90a,1,10,10,all_cleaned,10
SimpleReflexAgent,"[64, 64]",0.2,819,2025-10-05T19:40:57.177800,http://localhost:5000,86d7d43d-85e4-43e8-b413-a57c4b862543,72,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.8,819,2025-10-05T19:34:12.026780,http://localhost:5000,514c6e76-90af-48dc-869e-0f2dbb6402ca,195,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[2, 2]",0.1,0,2025-10-05T19:08:04.818807,http://localhost:5000,b59384e3-560e-439e-b6b4-a89b29e06796,0,0,0,all_cleaned,0
SimpleReflexAgent,"[16, 16]",0.1,25,2025-10-05T19:16:52.918770,http://localhost:5000,fdbf6058-9a60-4060-ac63-c8d6d6982d01,22,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[16, 16]",0.2,51,2025-10-05T19:18:19.652693,http://localhost:5000,2854c62f-c9f4-440b-a374-b667ce055c22,38,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[32, 32]",0.8,819,2025-10-05T19:36:09.691597,http://localhost:5000,95876c20-c3a9-4862-b91c-a02105551cc3,225,1000,1000,max_steps_reached,1000
