algorithm_name,env_n,size,best_solution,H,states,time
HC,0,4,"(1, 3, 0, 2)",6,12,0.00019216537475585938
HC,1,4,"(1, 3, 0, 2)",6,12,0.00010180473327636719
HC,2,4,"(2, 0, 3, 1)",6,18,0.00016117095947265625
HC,3,4,"(1, 3, 0, 2)",6,12,0.00010085105895996094
HC,4,4,"(1, 3, 0, 2)",6,6,6.031990051269531e-05
HC,5,4,"(2, 0, 3, 1)",6,18,0.000141143798828125
HC,6,4,"(2, 0, 3, 1)",6,24,0.00018167495727539062
HC,7,4,"(2, 0, 3, 1)",6,12,0.0001251697540283203
HC,8,4,"(1, 3, 0, 2)",6,12,0.00010585784912109375
HC,9,4,"(1, 3, 0, 2)",6,24,0.0001838207244873047
HC,10,4,"(1, 3, 0, 2)",6,24,0.0001811981201171875
HC,11,4,"(1, 3, 0, 2)",6,24,0.00021529197692871094
HC,12,4,"(2, 0, 3, 1)",6,18,0.0001652240753173828
HC,13,4,"(2, 0, 3, 1)",6,18,0.00012731552124023438
HC,14,4,"(2, 0, 3, 1)",6,12,0.0001347064971923828
HC,15,4,"(1, 3, 0, 2)",6,18,0.0001404285430908203
HC,16,4,"(2, 0, 3, 1)",6,12,0.00010538101196289062
HC,17,4,"(2, 0, 3, 1)",6,18,0.00010943412780761719
HC,18,4,"(1, 3, 0, 2)",6,12,8.630752563476562e-05
HC,19,4,"(2, 0, 3, 1)",6,12,9.608268737792969e-05
HC,20,4,"(1, 3, 0, 2)",6,6,7.724761962890625e-05
HC,21,4,"(1, 3, 0, 2)",6,12,0.00011801719665527344
HC,22,4,"(2, 0, 3, 1)",6,18,0.00015234947204589844
HC,23,4,"(2, 0, 3, 1)",6,6,5.7220458984375e-05
HC,24,4,"(1, 3, 0, 2)",6,18,0.00013947486877441406
HC,25,4,"(2, 0, 3, 1)",6,12,0.00012564659118652344
HC,26,4,"(1, 3, 0, 2)",6,12,0.00012135505676269531
HC,27,4,"(1, 3, 0, 2)",6,24,0.0002193450927734375
HC,28,4,"(2, 0, 3, 1)",6,12,9.989738464355469e-05
HC,29,4,"(1, 3, 0, 2)",6,24,0.0002295970916748047
HC,0,8,"(4, 7, 3, 0, 2, 5, 1, 6)",28,56,0.0007433891296386719
HC,1,8,"(5, 2, 0, 7, 3, 1, 6, 4)",28,112,0.0010828971862792969
HC,2,8,"(0, 3, 6, 2, 7, 4, 1, 5)",27,84,0.0008401870727539062
HC,3,8,"(1, 4, 6, 3, 0, 7, 5, 2)",28,84,0.0008370876312255859
HC,4,8,"(5, 2, 4, 7, 0, 3, 1, 6)",28,112,0.0011494159698486328
HC,5,8,"(5, 2, 0, 7, 4, 1, 3, 6)",28,112,0.0011208057403564453
HC,6,8,"(4, 1, 7, 0, 3, 6, 2, 5)",28,112,0.0010495185852050781
HC,7,8,"(4, 1, 3, 5, 7, 2, 0, 6)",28,112,0.0011546611785888672
HC,8,8,"(3, 1, 7, 2, 4, 6, 0, 5)",27,56,0.0005862712860107422
HC,9,8,"(7, 4, 1, 5, 2, 0, 6, 3)",27,56,0.0005915164947509766
HC,10,8,"(1, 3, 6, 4, 7, 5, 0, 2)",27,56,0.0005781650543212891
HC,11,8,"(3, 0, 4, 7, 5, 2, 6, 1)",28,84,0.0008862018585205078
HC,12,8,"(4, 2, 7, 3, 6, 0, 5, 1)",28,140,0.0014069080352783203
HC,13,8,"(4, 7, 5, 2, 1, 6, 0, 3)",27,84,0.0008597373962402344
HC,14,8,"(1, 5, 4, 2, 7, 3, 6, 0)",27,84,0.0009431838989257812
HC,15,8,"(3, 0, 4, 6, 1, 5, 2, 7)",26,28,0.0003440380096435547
HC,16,8,"(0, 3, 6, 2, 7, 4, 1, 5)",27,84,0.0008444786071777344
HC,17,8,"(6, 2, 7, 1, 4, 0, 5, 3)",28,84,0.0006995201110839844
HC,18,8,"(2, 0, 5, 3, 1, 6, 4, 7)",27,56,0.0004086494445800781
HC,19,8,"(0, 6, 4, 7, 1, 3, 5, 2)",28,56,0.0004286766052246094
HC,20,8,"(2, 5, 7, 0, 3, 6, 4, 1)",28,84,0.0008883476257324219
HC,21,8,"(7, 3, 1, 6, 2, 5, 0, 4)",27,84,0.0008783340454101562
HC,22,8,"(2, 3, 7, 4, 1, 5, 0, 6)",27,84,0.0008816719055175781
HC,23,8,"(4, 6, 1, 5, 2, 0, 3, 7)",28,56,0.0005807876586914062
HC,24,8,"(2, 7, 4, 1, 5, 0, 6, 3)",27,56,0.0005619525909423828
HC,25,8,"(1, 7, 2, 6, 3, 0, 4, 5)",27,112,0.0011057853698730469
HC,26,8,"(7, 5, 1, 4, 0, 3, 6, 2)",27,84,0.0014586448669433594
HC,27,8,"(7, 5, 2, 6, 3, 0, 4, 1)",27,56,0.0005955696105957031
HC,28,8,"(3, 5, 7, 1, 6, 0, 2, 4)",28,84,0.0008718967437744141
HC,29,8,"(6, 2, 0, 5, 7, 4, 1, 3)",28,112,0.0012695789337158203
HC,0,10,"(6, 3, 0, 2, 7, 9, 5, 1, 8, 4)",43,135,0.002385377883911133
HC,1,10,"(8, 1, 4, 0, 3, 9, 7, 5, 2, 6)",44,135,0.0023479461669921875
HC,2,10,"(0, 3, 7, 2, 8, 6, 4, 1, 9, 5)",44,135,0.002494335174560547
HC,3,10,"(5, 8, 2, 4, 7, 9, 0, 6, 3, 1)",44,135,0.002118825912475586
HC,4,10,"(8, 4, 1, 5, 9, 6, 3, 0, 2, 7)",44,135,0.002404451370239258
HC,5,10,"(9, 7, 1, 4, 6, 8, 0, 5, 3, 2)",44,180,0.003309488296508789
HC,6,10,"(4, 3, 7, 0, 2, 6, 9, 1, 8, 5)",44,180,0.003505706787109375
HC,7,10,"(5, 2, 6, 9, 0, 1, 4, 7, 3, 8)",44,90,0.001825094223022461
HC,8,10,"(3, 8, 6, 1, 4, 0, 7, 9, 2, 5)",44,135,0.002866983413696289
HC,9,10,"(7, 5, 3, 1, 6, 9, 2, 4, 8, 0)",44,135,0.002746105194091797
HC,10,10,"(9, 4, 6, 3, 0, 7, 1, 8, 5, 2)",45,180,0.003619670867919922
HC,11,10,"(5, 8, 1, 3, 0, 7, 9, 4, 6, 2)",44,180,0.0037834644317626953
HC,12,10,"(7, 4, 8, 1, 5, 9, 2, 6, 0, 3)",44,180,0.002295970916748047
HC,13,10,"(3, 5, 2, 9, 1, 6, 8, 0, 7, 4)",45,180,0.0029685497283935547
HC,14,10,"(1, 8, 5, 2, 9, 6, 4, 7, 0, 3)",44,135,0.005426883697509766
HC,15,10,"(3, 6, 8, 1, 4, 7, 0, 2, 9, 5)",45,135,0.0026803016662597656
HC,16,10,"(5, 2, 9, 7, 3, 0, 8, 1, 4, 6)",44,180,0.003671407699584961
HC,17,10,"(4, 6, 8, 2, 5, 1, 9, 0, 3, 7)",44,135,0.001558542251586914
HC,18,10,"(2, 7, 3, 1, 8, 5, 9, 6, 4, 0)",44,180,0.002321004867553711
HC,19,10,"(6, 8, 1, 4, 7, 0, 2, 9, 5, 3)",45,180,0.0023415088653564453
HC,20,10,"(0, 7, 1, 6, 9, 2, 4, 8, 3, 5)",45,180,0.003509044647216797
HC,21,10,"(2, 5, 8, 6, 0, 3, 1, 4, 7, 9)",45,180,0.003864288330078125
HC,22,10,"(5, 7, 0, 4, 8, 1, 3, 9, 6, 2)",44,135,0.0026917457580566406
HC,23,10,"(4, 1, 5, 9, 2, 0, 7, 3, 8, 6)",44,180,0.0037069320678710938
HC,24,10,"(6, 8, 3, 1, 9, 5, 2, 0, 7, 4)",44,135,0.002416372299194336
HC,25,10,"(6, 0, 3, 8, 2, 7, 9, 1, 5, 4)",43,135,0.002438068389892578
HC,26,10,"(3, 9, 6, 4, 0, 7, 1, 8, 5, 2)",43,90,0.0018014907836914062
HC,27,10,"(7, 4, 8, 0, 5, 1, 2, 9, 6, 3)",44,180,0.0031881332397460938
HC,28,10,"(1, 8, 2, 9, 6, 3, 0, 4, 7, 5)",45,135,0.0021135807037353516
HC,29,10,"(8, 1, 5, 0, 6, 4, 2, 7, 9, 3)",43,135,0.0020673274993896484
HC,0,12,"(6, 3, 0, 4, 7, 9, 2, 11, 5, 8, 10, 1)",65,264,0.007462263107299805
HC,1,12,"(2, 9, 1, 4, 10, 8, 11, 5, 3, 0, 6, 7)",65,198,0.004082918167114258
HC,2,12,"(0, 10, 1, 5, 2, 8, 3, 7, 4, 6, 11, 9)",63,198,0.003215789794921875
HC,3,12,"(3, 10, 8, 1, 5, 7, 11, 6, 0, 9, 4, 2)",65,264,0.006384134292602539
HC,4,12,"(5, 8, 1, 4, 7, 9, 0, 3, 10, 6, 2, 11)",66,264,0.004792690277099609
HC,5,12,"(9, 4, 5, 7, 0, 6, 3, 1, 8, 11, 2, 10)",64,132,0.002371072769165039
HC,6,12,"(5, 1, 7, 9, 0, 3, 10, 8, 11, 2, 4, 6)",65,264,0.006485462188720703
HC,7,12,"(5, 1, 6, 0, 7, 11, 4, 8, 10, 3, 9, 2)",66,264,0.006955146789550781
HC,8,12,"(3, 10, 6, 2, 11, 5, 0, 9, 1, 4, 8, 7)",65,132,0.0046083927154541016
HC,9,12,"(5, 9, 6, 4, 0, 1, 8, 2, 11, 3, 7, 10)",65,330,0.007016658782958984
HC,10,12,"(3, 0, 6, 8, 10, 1, 9, 5, 2, 4, 7, 11)",65,198,0.003625631332397461
