algorithm_name,env_n,size,best_solution,H,states,time
HC,0,4,"(1, 3, 0, 2)",6,14,0.000385284423828125
HC,1,4,"(1, 3, 0, 2)",6,14,3.9577484130859375e-05
HC,2,4,"(2, 0, 3, 1)",6,20,5.888938903808594e-05
HC,3,4,"(1, 3, 0, 2)",6,14,5.0067901611328125e-05
HC,4,4,"(1, 3, 0, 2)",6,8,2.574920654296875e-05
HC,5,4,"(1, 3, 0, 2)",6,20,6.842613220214844e-05
HC,6,4,"(2, 0, 3, 1)",6,26,7.200241088867188e-05
HC,7,4,"(2, 0, 3, 1)",6,14,4.38690185546875e-05
HC,8,4,"(1, 3, 0, 2)",6,14,6.771087646484375e-05
HC,9,4,"(1, 3, 0, 2)",6,26,8.416175842285156e-05
HC,10,4,"(2, 0, 3, 1)",6,26,9.655952453613281e-05
HC,11,4,"(1, 3, 0, 2)",6,26,9.608268737792969e-05
HC,12,4,"(1, 3, 0, 2)",6,20,7.319450378417969e-05
HC,13,4,"(1, 3, 0, 2)",6,20,5.9604644775390625e-05
HC,14,4,"(2, 0, 3, 1)",6,14,4.2438507080078125e-05
HC,15,4,"(2, 0, 3, 1)",6,20,6.0558319091796875e-05
HC,16,4,"(2, 0, 3, 1)",6,14,4.649162292480469e-05
HC,17,4,"(1, 3, 0, 2)",6,20,7.05718994140625e-05
HC,18,4,"(2, 0, 3, 1)",6,14,5.030632019042969e-05
HC,19,4,"(2, 0, 3, 1)",6,14,5.340576171875e-05
HC,20,4,"(1, 3, 0, 2)",6,8,2.9087066650390625e-05
HC,21,4,"(1, 3, 0, 2)",6,14,4.8160552978515625e-05
HC,22,4,"(2, 0, 3, 1)",6,20,6.723403930664062e-05
HC,23,4,"(2, 0, 3, 1)",6,8,2.7418136596679688e-05
HC,24,4,"(2, 0, 3, 1)",6,20,6.246566772460938e-05
HC,25,4,"(2, 0, 3, 1)",6,14,4.2438507080078125e-05
HC,26,4,"(1, 3, 0, 2)",6,14,3.8623809814453125e-05
HC,27,4,"(1, 3, 0, 2)",6,26,7.009506225585938e-05
HC,28,4,"(2, 0, 3, 1)",6,14,9.250640869140625e-05
HC,29,4,"(2, 0, 3, 1)",6,26,0.00011086463928222656
HC,0,8,"(4, 7, 3, 0, 2, 5, 1, 6)",28,58,0.0014920234680175781
HC,1,8,"(7, 3, 0, 2, 5, 1, 6, 4)",28,86,0.0003039836883544922
HC,2,8,"(0, 3, 6, 2, 7, 4, 1, 5)",27,86,0.0003204345703125
HC,3,8,"(1, 4, 6, 0, 2, 7, 5, 3)",28,86,0.00029730796813964844
HC,4,8,"(5, 2, 0, 7, 3, 1, 6, 4)",28,114,0.0003914833068847656
HC,5,8,"(2, 0, 5, 7, 4, 1, 3, 6)",27,114,0.00039839744567871094
HC,6,8,"(2, 5, 7, 0, 4, 6, 1, 3)",28,114,0.0003972053527832031
HC,7,8,"(5, 3, 1, 7, 4, 6, 0, 2)",28,114,0.0003991127014160156
HC,8,8,"(3, 1, 7, 2, 4, 6, 0, 5)",27,58,0.00029921531677246094
HC,9,8,"(7, 4, 1, 5, 2, 0, 6, 3)",27,58,0.0001780986785888672
