algorithm,n_queens,solved_pct,time_mean,time_std,states_mean,states_std,H_mean,H_std
HC,4,100.0,0.000105,4.2e-05,17.4,5.52,6.0,0.0
HC,8,43.33,0.00064,0.00062,82.27,22.56,27.4,0.5538
HC,10,20.0,0.001501,0.001244,144.5,33.03,43.9667,0.6574
HC,12,20.0,0.001931,0.000985,228.6,58.25,64.9667,0.6574
HC,15,23.33,0.004124,0.001382,467.5,100.29,103.8667,0.763
SA,4,100.0,0.000239,0.000115,11.6,6.71,6.0,0.0
SA,8,100.0,0.004815,0.005227,177.9,143.11,28.0,0.0
SA,10,96.67,0.018803,0.032986,615.17,1349.16,44.9667,0.1795
SA,12,96.67,0.025654,0.044565,803.1,1585.09,65.9667,0.1795
SA,15,100.0,0.024267,0.013731,496.3,443.84,105.0,0.0
GA,4,100.0,0.000299,0.000244,23.4,10.61,6.0,0.0
GA,8,100.0,0.021155,0.022667,574.87,495.05,28.0,0.0
GA,10,100.0,0.168201,0.128326,4234.33,4033.22,45.0,0.0
GA,12,100.0,1.243678,1.451056,29813.8,33810.87,66.0,0.0
GA,15,100.0,20.330056,19.342271,420143.5,394840.79,105.0,0.0
LGA,4,100.0,0.000216,0.000211,21.27,10.93,6.0,0.0
LGA,8,100.0,0.008504,0.005675,362.97,180.03,28.0,0.0
LGA,10,100.0,0.019331,0.016247,862.23,445.44,45.0,0.0
LGA,12,100.0,0.033008,0.029382,1481.93,1056.5,66.0,0.0
LGA,15,100.0,0.092387,0.06564,3336.0,2061.83,105.0,0.0
