algorithm,n_queens,found_pct,time_mean,time_std,nodes_mean,nodes_std
backtracking_first_unassigned_variable_default_order,4,100.0,5.5e-05,5.1e-05,8,0.0
backtracking_first_unassigned_variable_default_order,8,100.0,0.000849,0.000524,116,0.0
backtracking_first_unassigned_variable_default_order,10,100.0,0.000614,0.000204,91,0.0
backtracking_first_unassigned_variable_default_order,12,100.0,0.001763,0.000684,243,0.0
backtracking_first_unassigned_variable_default_order,15,100.0,0.018663,0.007714,1630,0.0
forward_checking_first_unassigned_variable_default_order,4,100.0,5.7e-05,3.2e-05,8,0.0
forward_checking_first_unassigned_variable_default_order,8,100.0,0.000908,0.000522,89,0.0
forward_checking_first_unassigned_variable_default_order,10,100.0,0.00066,0.000384,73,0.0
forward_checking_first_unassigned_variable_default_order,12,100.0,0.004695,0.004481,176,0.0
forward_checking_first_unassigned_variable_default_order,15,100.0,0.031365,0.019506,1232,0.0
backtracking_first_unassigned_variable_lcv,4,100.0,0.000198,7e-05,8,0.0
backtracking_first_unassigned_variable_lcv,8,100.0,0.013452,0.005142,128,0.0
backtracking_first_unassigned_variable_lcv,10,100.0,0.025624,0.008502,157,0.0
backtracking_first_unassigned_variable_lcv,12,100.0,0.036956,0.014149,128,0.0
backtracking_first_unassigned_variable_lcv,15,100.0,0.186962,0.035879,334,0.0
forward_checking_first_unassigned_variable_lcv,4,100.0,0.000114,4.6e-05,8,0.0
forward_checking_first_unassigned_variable_lcv,8,100.0,0.005463,0.004706,104,0.0
forward_checking_first_unassigned_variable_lcv,10,100.0,0.005477,0.002412,125,0.0
forward_checking_first_unassigned_variable_lcv,12,100.0,0.005083,0.000882,94,0.0
forward_checking_first_unassigned_variable_lcv,15,100.0,0.017205,0.006013,223,0.0
backtracking_mrv_default_order,4,100.0,6.4e-05,3.5e-05,6.3,2.15
backtracking_mrv_default_order,8,100.0,0.000359,0.0003,36.3,37.19
backtracking_mrv_default_order,10,100.0,0.000969,0.000968,86.27,88.4
backtracking_mrv_default_order,12,100.0,0.003827,0.005423,289.63,374.69
backtracking_mrv_default_order,15,100.0,0.004934,0.009277,337.63,589.29
forward_checking_mrv_default_order,4,100.0,0.000124,0.000278,6.3,1.68
forward_checking_mrv_default_order,8,100.0,0.000431,0.000773,18.43,10.31
forward_checking_mrv_default_order,10,100.0,0.000448,0.000259,30.33,23.31
forward_checking_mrv_default_order,12,100.0,0.000724,0.000584,44.4,41.79
forward_checking_mrv_default_order,15,100.0,0.001087,0.001132,50.17,69.72
backtracking_mrv_lcv,4,100.0,0.000259,0.000361,6.6,2.94
backtracking_mrv_lcv,8,100.0,0.003538,0.003852,38.5,43.03
backtracking_mrv_lcv,10,100.0,0.023138,0.020997,145.43,128.51
backtracking_mrv_lcv,12,100.0,0.05388,0.045072,245.17,242.58
backtracking_mrv_lcv,15,100.0,0.347921,0.95402,932.4,2631.22
forward_checking_mrv_lcv,4,100.0,9.3e-05,2.7e-05,5.93,1.84
forward_checking_mrv_lcv,8,100.0,0.000779,0.000334,21.37,11.8
forward_checking_mrv_lcv,10,100.0,0.002237,0.001239,44.67,41.74
forward_checking_mrv_lcv,12,100.0,0.003587,0.001572,55.7,45.49
forward_checking_mrv_lcv,15,100.0,0.007874,0.006368,89.8,149.99
