algorithm,n_queens,seed,found,time_seconds,nodes_explored
backtracking_first_unassigned_variable_default_order,4,1,True,6.4e-05,8
backtracking_first_unassigned_variable_default_order,4,2,True,3.1e-05,8
backtracking_first_unassigned_variable_default_order,4,3,True,2.4e-05,8
backtracking_first_unassigned_variable_default_order,4,4,True,2.4e-05,8
backtracking_first_unassigned_variable_default_order,4,5,True,2.2e-05,8
backtracking_first_unassigned_variable_default_order,4,6,True,2.2e-05,8
backtracking_first_unassigned_variable_default_order,4,7,True,2.2e-05,8
backtracking_first_unassigned_variable_default_order,4,8,True,2.8e-05,8
backtracking_first_unassigned_variable_default_order,4,9,True,2.1e-05,8
backtracking_first_unassigned_variable_default_order,4,10,True,2.3e-05,8
backtracking_first_unassigned_variable_default_order,4,11,True,2.3e-05,8
backtracking_first_unassigned_variable_default_order,4,12,True,7.9e-05,8
backtracking_first_unassigned_variable_default_order,4,13,True,3.2e-05,8
backtracking_first_unassigned_variable_default_order,4,14,True,3.4e-05,8
backtracking_first_unassigned_variable_default_order,4,15,True,3.4e-05,8
backtracking_first_unassigned_variable_default_order,4,16,True,3.6e-05,8
backtracking_first_unassigned_variable_default_order,4,17,True,0.000164,8
backtracking_first_unassigned_variable_default_order,4,18,True,3.5e-05,8
backtracking_first_unassigned_variable_default_order,4,19,True,3.3e-05,8
backtracking_first_unassigned_variable_default_order,4,20,True,3.2e-05,8
backtracking_first_unassigned_variable_default_order,4,21,True,3.5e-05,8
backtracking_first_unassigned_variable_default_order,4,22,True,3.6e-05,8
backtracking_first_unassigned_variable_default_order,4,23,True,3.6e-05,8
backtracking_first_unassigned_variable_default_order,4,24,True,4e-05,8
backtracking_first_unassigned_variable_default_order,4,25,True,3.7e-05,8
backtracking_first_unassigned_variable_default_order,4,26,True,3.7e-05,8
backtracking_first_unassigned_variable_default_order,4,27,True,3.6e-05,8
backtracking_first_unassigned_variable_default_order,4,28,True,5.2e-05,8
backtracking_first_unassigned_variable_default_order,4,29,True,3.5e-05,8
backtracking_first_unassigned_variable_default_order,4,30,True,3.1e-05,8
backtracking_first_unassigned_variable_default_order,8,1,True,0.000748,116
backtracking_first_unassigned_variable_default_order,8,2,True,0.00079,116
backtracking_first_unassigned_variable_default_order,8,3,True,0.001793,116
backtracking_first_unassigned_variable_default_order,8,4,True,0.000737,116
backtracking_first_unassigned_variable_default_order,8,5,True,0.001869,116
backtracking_first_unassigned_variable_default_order,8,6,True,0.000675,116
backtracking_first_unassigned_variable_default_order,8,7,True,0.001359,116
backtracking_first_unassigned_variable_default_order,8,8,True,0.000752,116
backtracking_first_unassigned_variable_default_order,8,9,True,0.001026,116
backtracking_first_unassigned_variable_default_order,8,10,True,0.00071,116
backtracking_first_unassigned_variable_default_order,8,11,True,0.000677,116
backtracking_first_unassigned_variable_default_order,8,12,True,0.000717,116
backtracking_first_unassigned_variable_default_order,8,13,True,0.000644,116
backtracking_first_unassigned_variable_default_order,8,14,True,0.000438,116
backtracking_first_unassigned_variable_default_order,8,15,True,0.000481,116
backtracking_first_unassigned_variable_default_order,8,16,True,0.001593,116
backtracking_first_unassigned_variable_default_order,8,17,True,0.000782,116
backtracking_first_unassigned_variable_default_order,8,18,True,0.000457,116
backtracking_first_unassigned_variable_default_order,8,19,True,0.000435,116
backtracking_first_unassigned_variable_default_order,8,20,True,0.000553,116
backtracking_first_unassigned_variable_default_order,8,21,True,0.000436,116
backtracking_first_unassigned_variable_default_order,8,22,True,0.000433,116
backtracking_first_unassigned_variable_default_order,8,23,True,0.000442,116
backtracking_first_unassigned_variable_default_order,8,24,True,0.00053,116
backtracking_first_unassigned_variable_default_order,8,25,True,0.000772,116
backtracking_first_unassigned_variable_default_order,8,26,True,0.000918,116
backtracking_first_unassigned_variable_default_order,8,27,True,0.000465,116
backtracking_first_unassigned_variable_default_order,8,28,True,0.000555,116
backtracking_first_unassigned_variable_default_order,8,29,True,0.000607,116
backtracking_first_unassigned_variable_default_order,8,30,True,0.000757,116
backtracking_first_unassigned_variable_default_order,10,1,True,0.000655,91
backtracking_first_unassigned_variable_default_order,10,2,True,0.002541,91
backtracking_first_unassigned_variable_default_order,10,3,True,0.000391,91
backtracking_first_unassigned_variable_default_order,10,4,True,0.000506,91
backtracking_first_unassigned_variable_default_order,10,5,True,0.000612,91
backtracking_first_unassigned_variable_default_order,10,6,True,0.000632,91
backtracking_first_unassigned_variable_default_order,10,7,True,0.000613,91
backtracking_first_unassigned_variable_default_order,10,8,True,0.00042,91
backtracking_first_unassigned_variable_default_order,10,9,True,0.000402,91
backtracking_first_unassigned_variable_default_order,10,10,True,0.000379,91
backtracking_first_unassigned_variable_default_order,10,11,True,0.000398,91
backtracking_first_unassigned_variable_default_order,10,12,True,0.000394,91
backtracking_first_unassigned_variable_default_order,10,13,True,0.000386,91
backtracking_first_unassigned_variable_default_order,10,14,True,0.000395,91
backtracking_first_unassigned_variable_default_order,10,15,True,0.000491,91
backtracking_first_unassigned_variable_default_order,10,16,True,0.000629,91
backtracking_first_unassigned_variable_default_order,10,17,True,0.000545,91
backtracking_first_unassigned_variable_default_order,10,18,True,0.000417,91
backtracking_first_unassigned_variable_default_order,10,19,True,0.000382,91
backtracking_first_unassigned_variable_default_order,10,20,True,0.001445,91
backtracking_first_unassigned_variable_default_order,10,21,True,0.000394,91
backtracking_first_unassigned_variable_default_order,10,22,True,0.000386,91
backtracking_first_unassigned_variable_default_order,10,23,True,0.000394,91
backtracking_first_unassigned_variable_default_order,10,24,True,0.000383,91
backtracking_first_unassigned_variable_default_order,10,25,True,0.000393,91
backtracking_first_unassigned_variable_default_order,10,26,True,0.000383,91
backtracking_first_unassigned_variable_default_order,10,27,True,0.000512,91
backtracking_first_unassigned_variable_default_order,10,28,True,0.000422,91
backtracking_first_unassigned_variable_default_order,10,29,True,0.000402,91
backtracking_first_unassigned_variable_default_order,10,30,True,0.001972,91
backtracking_first_unassigned_variable_default_order,12,1,True,0.001995,243
backtracking_first_unassigned_variable_default_order,12,2,True,0.003055,243
backtracking_first_unassigned_variable_default_order,12,3,True,0.001463,243
backtracking_first_unassigned_variable_default_order,12,4,True,0.001959,243
backtracking_first_unassigned_variable_default_order,12,5,True,0.001201,243
backtracking_first_unassigned_variable_default_order,12,6,True,0.001192,243
backtracking_first_unassigned_variable_default_order,12,7,True,0.00118,243
backtracking_first_unassigned_variable_default_order,12,8,True,0.00122,243
backtracking_first_unassigned_variable_default_order,12,9,True,0.001522,243
backtracking_first_unassigned_variable_default_order,12,10,True,0.001959,243
backtracking_first_unassigned_variable_default_order,12,11,True,0.001899,243
backtracking_first_unassigned_variable_default_order,12,12,True,0.001223,243
backtracking_first_unassigned_variable_default_order,12,13,True,0.001199,243
backtracking_first_unassigned_variable_default_order,12,14,True,0.00118,243
backtracking_first_unassigned_variable_default_order,12,15,True,0.001192,243
backtracking_first_unassigned_variable_default_order,12,16,True,0.001219,243
backtracking_first_unassigned_variable_default_order,12,17,True,0.001252,243
backtracking_first_unassigned_variable_default_order,12,18,True,0.001308,243
backtracking_first_unassigned_variable_default_order,12,19,True,0.001189,243
backtracking_first_unassigned_variable_default_order,12,20,True,0.001188,243
backtracking_first_unassigned_variable_default_order,12,21,True,0.001649,243
backtracking_first_unassigned_variable_default_order,12,22,True,0.00194,243
backtracking_first_unassigned_variable_default_order,12,23,True,0.001773,243
backtracking_first_unassigned_variable_default_order,12,24,True,0.001401,243
backtracking_first_unassigned_variable_default_order,12,25,True,0.001544,243
backtracking_first_unassigned_variable_default_order,12,26,True,0.001231,243
backtracking_first_unassigned_variable_default_order,12,27,True,0.001216,243
backtracking_first_unassigned_variable_default_order,12,28,True,0.001553,243
backtracking_first_unassigned_variable_default_order,12,29,True,0.002077,243
backtracking_first_unassigned_variable_default_order,12,30,True,0.003984,243
backtracking_first_unassigned_variable_default_order,15,1,True,0.013218,1630
backtracking_first_unassigned_variable_default_order,15,2,True,0.015929,1630
backtracking_first_unassigned_variable_default_order,15,3,True,0.017693,1630
backtracking_first_unassigned_variable_default_order,15,4,True,0.01144,1630
backtracking_first_unassigned_variable_default_order,15,5,True,0.009627,1630
backtracking_first_unassigned_variable_default_order,15,6,True,0.013319,1630
backtracking_first_unassigned_variable_default_order,15,7,True,0.011981,1630
backtracking_first_unassigned_variable_default_order,15,8,True,0.015846,1630
backtracking_first_unassigned_variable_default_order,15,9,True,0.013103,1630
backtracking_first_unassigned_variable_default_order,15,10,True,0.016138,1630
backtracking_first_unassigned_variable_default_order,15,11,True,0.011718,1630
backtracking_first_unassigned_variable_default_order,15,12,True,0.01078,1630
backtracking_first_unassigned_variable_default_order,15,13,True,0.015288,1630
backtracking_first_unassigned_variable_default_order,15,14,True,0.015079,1630
backtracking_first_unassigned_variable_default_order,15,15,True,0.015096,1630
backtracking_first_unassigned_variable_default_order,15,16,True,0.015153,1630
backtracking_first_unassigned_variable_default_order,15,17,True,0.063071,1630
backtracking_first_unassigned_variable_default_order,15,18,True,0.016737,1630
backtracking_first_unassigned_variable_default_order,15,19,True,0.014443,1630
backtracking_first_unassigned_variable_default_order,15,20,True,0.017602,1630
backtracking_first_unassigned_variable_default_order,15,21,True,0.031175,1630
backtracking_first_unassigned_variable_default_order,15,22,True,0.016047,1630
backtracking_first_unassigned_variable_default_order,15,23,True,0.012038,1630
backtracking_first_unassigned_variable_default_order,15,24,True,0.013809,1630
backtracking_first_unassigned_variable_default_order,15,25,True,0.011179,1630
backtracking_first_unassigned_variable_default_order,15,26,True,0.011601,1630
backtracking_first_unassigned_variable_default_order,15,27,True,0.011127,1630
backtracking_first_unassigned_variable_default_order,15,28,True,0.010466,1630
backtracking_first_unassigned_variable_default_order,15,29,True,0.018983,1630
backtracking_first_unassigned_variable_default_order,15,30,True,0.010931,1630
forward_checking_first_unassigned_variable_default_order,4,1,True,5.5e-05,8
forward_checking_first_unassigned_variable_default_order,4,2,True,4.6e-05,8
