algorithm,n_queens,found_pct,time_mean,time_std,nodes_mean,nodes_std
backtracking_first_unassigned_variable_default_order,4,100.0,3.9e-05,2.6e-05,8,0.0
backtracking_first_unassigned_variable_default_order,8,100.0,0.000772,0.000384,116,0.0
backtracking_first_unassigned_variable_default_order,10,100.0,0.000609,0.000488,91,0.0
backtracking_first_unassigned_variable_default_order,12,100.0,0.001599,0.000606,243,0.0
backtracking_first_unassigned_variable_default_order,15,100.0,0.016021,0.009584,1630,0.0
forward_checking_first_unassigned_variable_default_order,4,100.0,3.2e-05,6e-06,8,0.0
forward_checking_first_unassigned_variable_default_order,8,100.0,0.000663,0.000293,89,0.0
forward_checking_first_unassigned_variable_default_order,10,100.0,0.000462,0.000102,73,0.0
forward_checking_first_unassigned_variable_default_order,12,100.0,0.00141,0.000367,176,0.0
forward_checking_first_unassigned_variable_default_order,15,100.0,0.010991,0.001752,1232,0.0
backtracking_first_unassigned_variable_lcv,4,100.0,0.000112,2.8e-05,8,0.0
backtracking_first_unassigned_variable_lcv,8,100.0,0.011674,0.005656,128,0.0
backtracking_first_unassigned_variable_lcv,10,100.0,0.021567,0.004219,157,0.0
backtracking_first_unassigned_variable_lcv,12,100.0,0.030808,0.008474,128,0.0
backtracking_first_unassigned_variable_lcv,15,100.0,0.158007,0.043822,334,0.0
forward_checking_first_unassigned_variable_lcv,4,100.0,0.000119,4.8e-05,8,0.0
forward_checking_first_unassigned_variable_lcv,8,100.0,0.002145,0.000468,104,0.0
forward_checking_first_unassigned_variable_lcv,10,100.0,0.003953,0.000609,125,0.0
forward_checking_first_unassigned_variable_lcv,12,100.0,0.006281,0.005115,94,0.0
forward_checking_first_unassigned_variable_lcv,15,100.0,0.015011,0.004668,223,0.0
backtracking_mrv_default_order,4,100.0,6.2e-05,2.7e-05,6.77,2.35
backtracking_mrv_default_order,8,100.0,0.000438,0.000453,41.93,40.68
backtracking_mrv_default_order,10,100.0,0.001187,0.001259,102.77,116.28
backtracking_mrv_default_order,12,100.0,0.003688,0.006319,291.23,470.29
backtracking_mrv_default_order,15,100.0,0.004431,0.006987,338.8,558.46
forward_checking_mrv_default_order,4,100.0,7.4e-05,5.5e-05,6.03,1.64
forward_checking_mrv_default_order,8,100.0,0.000282,0.000211,16.87,14.04
forward_checking_mrv_default_order,10,100.0,0.00056,0.000508,43.87,45.85
forward_checking_mrv_default_order,12,100.0,0.000838,0.000795,47.53,53.8
forward_checking_mrv_default_order,15,100.0,0.000762,0.000419,36.43,26.34
backtracking_mrv_lcv,4,100.0,0.000166,8.1e-05,6.23,2.97
backtracking_mrv_lcv,8,100.0,0.003378,0.002714,39.6,30.13
backtracking_mrv_lcv,10,100.0,0.022691,0.021999,135,149.49
backtracking_mrv_lcv,12,100.0,0.058916,0.074813,307.73,353.58
backtracking_mrv_lcv,15,100.0,0.168991,0.212993,463.9,571.07
forward_checking_mrv_lcv,4,100.0,0.00012,4.5e-05,5.47,1.82
forward_checking_mrv_lcv,8,100.0,0.00115,0.000664,25.27,20.49
forward_checking_mrv_lcv,10,100.0,0.002133,0.001047,45.4,34.09
forward_checking_mrv_lcv,12,100.0,0.003578,0.002261,49,51.61
forward_checking_mrv_lcv,15,100.0,0.007159,0.005379,54.57,62.47
